@relation 'all_train-weka.filters.unsupervised.attribute.Remove-R1,502-515,517-519-weka.filters.unsupervised.attribute.Remove-R502-weka.filters.unsupervised.attribute.NumericTransform-R1-500-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.Remove-V-R21,360,4,51,283,461,76,479,201,312,77,343,483,263,485,356,74,398,274,217,214,282,134,286,25,95,90,54,154,73,344,465,222,92,347,207,326,348,315,166,96,131,430,188,329,352,264,17,160,357,501'

@attribute dim21 numeric
@attribute dim360 numeric
@attribute dim4 numeric
@attribute dim51 numeric
@attribute dim283 numeric
@attribute dim461 numeric
@attribute dim76 numeric
@attribute dim479 numeric
@attribute dim201 numeric
@attribute dim312 numeric
@attribute dim77 numeric
@attribute dim343 numeric
@attribute dim483 numeric
@attribute dim263 numeric
@attribute dim485 numeric
@attribute dim356 numeric
@attribute dim74 numeric
@attribute dim398 numeric
@attribute dim274 numeric
@attribute dim217 numeric
@attribute dim214 numeric
@attribute dim282 numeric
@attribute dim134 numeric
@attribute dim286 numeric
@attribute dim25 numeric
@attribute dim95 numeric
@attribute dim90 numeric
@attribute dim54 numeric
@attribute dim154 numeric
@attribute dim73 numeric
@attribute dim344 numeric
@attribute dim465 numeric
@attribute dim222 numeric
@attribute dim92 numeric
@attribute dim347 numeric
@attribute dim207 numeric
@attribute dim326 numeric
@attribute dim348 numeric
@attribute dim315 numeric
@attribute dim166 numeric
@attribute dim96 numeric
@attribute dim131 numeric
@attribute dim430 numeric
@attribute dim188 numeric
@attribute dim329 numeric
@attribute dim352 numeric
@attribute dim264 numeric
@attribute dim17 numeric
@attribute dim160 numeric
@attribute dim357 numeric
@attribute is_person {0,1}

@data
-6.888934,-6.378304,-7.294889,?,-6.041495,-7.294889,-6.041495,-6.601006,-4.158883,-7.294889,-6.378304,-6.378304,-7.986565,-6.601006,-6.601006,-6.378304,-7.986565,-6.888934,-7.986565,-7.986565,-7.986565,-6.888934,-6.888934,-6.378304,-7.986565,-6.378304,-6.601006,-6.195786,-7.986565,-6.378304,-6.378304,-5.502639,-5.790321,-6.195786,-6.378304,-6.601006,-6.195786,-7.294889,-7.294889,-6.888934,-6.888934,-6.195786,-6.888934,-6.041495,-6.601006,-6.888934,-6.888934,-7.986565,-6.601006,-7.986565,0
-6.015347,?,-6.238389,-5.226741,-6.931024,?,-7.625195,?,-3.158722,?,?,?,-7.625195,?,?,?,-6.238389,-6.5259,-6.931024,-6.931024,?,-6.931024,-6.931024,?,?,-6.931024,?,-6.238389,-6.5259,?,-6.931024,-3.564187,-5.6787,?,-7.625195,-5.427288,-6.238389,?,-6.931024,-5.427288,?,-6.238389,-6.015347,-5.545241,-7.625195,-7.625195,-6.238389,-5.832753,?,-5.545241,0
-6.273297,-6.139965,-6.427801,-5.734345,-6.021924,-5.386056,-6.427801,-5.511263,-5.274796,-6.139965,-6.832648,-7.120948,-6.021924,-6.609875,-5.446817,-5.654421,-5.821553,-6.427801,-5.446817,-6.427801,-5.916728,-6.021924,-6.139965,-5.654421,-6.609875,-5.734345,-6.427801,-6.139965,-6.021924,-5.734345,-5.654421,-5.821553,-5.654421,-5.446817,-6.139965,-6.832648,-6.139965,-6.427801,-5.274796,-7.120948,-6.273297,-5.654421,-6.139965,-7.525795,-5.734345,-5.58015,-6.427801,-5.328983,-6.832648,-6.139965,1
-6.378304,-5.684863,-7.986565,-5.790321,-7.986565,-6.601006,-6.601006,-5.908227,-4.620182,?,-6.041495,-7.294889,-6.041495,-6.888934,-6.888934,-6.041495,-6.601006,-6.195786,-6.041495,-7.986565,-7.986565,-6.195786,-7.294889,-7.986565,-6.888934,-6.378304,-6.195786,-6.378304,-6.601006,-6.888934,?,-5.097174,-6.888934,-6.378304,-6.195786,-6.888934,-7.294889,-7.294889,-6.888934,-4.620182,-6.378304,-7.986565,-6.378304,-5.043055,-7.294889,-7.294889,-6.888934,-6.601006,-6.601006,-7.294889,0
1.173093,0.120162,0.168464,2.017706,0.252265,1.004508,-0.252413,1.951605,2.165774,1.957227,1.53238,-0.336581,1.224611,0.703755,1.261192,2.292421,1.172988,2.071776,1.380193,0.991553,2.222009,1.782223,2.068105,1.811285,1.71073,2.275323,1.515115,2.022833,1.15166,-0.01247,1.973749,2.058058,0.213995,1.502678,1.54455,1.501003,2.042655,2.036565,1.022444,1.825958,1.592117,2.146338,1.841851,0.356288,0.992065,1.651825,1.293487,2.214088,2.13694,1.947024,0
-7.896617,?,-5.950707,-7.896617,-5.817175,-6.510322,-7.896617,?,-4.370177,-7.20347,-7.896617,-7.896617,-5.699392,-7.20347,-6.798004,?,-6.510322,-6.798004,-7.896617,-6.104857,-7.896617,-7.896617,-6.104857,-7.896617,-6.798004,-7.20347,-6.510322,-5.817175,-6.287179,-6.510322,-7.20347,-4.60068,-7.20347,?,-6.287179,-6.104857,-6.287179,?,-7.20347,?,-7.896617,-6.104857,-7.20347,-6.510322,-5.950707,-6.287179,?,-6.104857,-5.594032,-6.510322,0
-5.807478,-6.723768,-5.402124,-7.416916,-5.913023,-8.111728,-7.416916,-7.012005,?,-7.416916,-6.723768,-7.416916,-5.712319,?,-6.030621,-7.012005,-6.500958,-6.16439,-7.012005,-5.01902,-7.416916,-6.030621,-7.012005,-7.012005,-7.416916,-5.545241,-8.111728,-6.16439,-4.5838,-6.16439,-5.625156,?,-6.030621,?,-7.012005,-6.318303,-6.318303,?,-6.723768,-4.742824,-5.165711,-7.012005,-6.16439,-4.814288,-6.723768,-5.471005,-7.012005,-6.318303,?,-5.276947,0
-6.173946,-7.090477,-6.173946,-6.39673,-6.173946,-7.090477,-7.782424,-5.991465,-7.782424,-7.090477,-7.090477,-6.684612,-5.8372,-7.782424,-7.090477,-6.39673,-6.684612,-7.090477,-7.782424,-5.991465,-6.39673,-7.090477,-7.090477,-5.585999,-7.090477,?,-6.39673,-5.298317,-6.173946,-7.782424,-7.782424,-6.173946,-7.090477,-6.39673,?,-5.144224,-5.8372,-6.684612,-7.782424,-6.173946,-6.684612,-6.684612,-6.684612,-7.090477,-5.703882,-6.173946,?,-7.090477,-7.090477,-6.173946,0
-6.238389,-7.154935,-5.282838,-6.749044,?,-6.749044,-7.154935,?,-7.846803,-5.90199,-5.90199,-7.154935,-6.461148,-7.154935,-5.650431,-7.154935,-7.846803,-6.749044,-7.846803,-6.238389,-6.749044,-5.545241,-7.846803,-7.846803,?,-6.238389,-7.846803,-6.749044,-5.362963,-5.90199,-6.238389,-7.154935,-5.768321,-7.846803,-7.846803,-7.154935,-5.362963,?,-5.650431,-5.208659,-5.208659,-7.154935,-6.238389,-5.449838,-7.846803,-5.545241,-6.749044,-5.90199,-7.154935,-5.208659,0
-5.908227,-6.888934,-5.684863,-6.195786,-5.348559,-5.790321,-6.601006,-7.986565,-7.294889,-6.195786,-6.888934,-6.888934,-5.502639,-6.888934,-6.888934,-5.15439,-6.378304,-5.908227,-6.041495,-6.888934,-7.986565,-6.601006,-7.294889,-7.294889,-7.986565,-5.790321,-7.294889,-6.195786,-6.195786,-5.684863,-6.888934,-7.986565,-6.041495,-5.908227,-7.294889,-6.041495,-7.986565,-6.041495,-5.790321,-5.790321,-6.601006,-7.294889,-5.790321,-5.422521,-5.684863,-6.601006,-6.041495,-6.195786,-7.294889,-5.502639,1
-7.294889,-7.986565,-7.986565,-7.986565,-7.986565,-7.986565,-7.986565,-7.986565,-3.697073,-7.986565,-7.986565,-7.986565,-6.601006,?,-7.986565,?,?,-7.986565,-6.888934,?,?,-6.601006,?,-7.986565,?,-6.195786,-7.986565,-7.986565,-6.378304,-6.888934,-6.888934,-6.601006,-6.601006,-7.986565,-7.294889,-7.294889,?,-7.294889,-6.888934,?,-7.294889,-6.888934,-7.986565,-7.986565,-7.986565,-7.986565,-7.294889,-6.195786,-7.986565,-7.294889,0
-5.043055,-5.58974,-5.908227,-5.15439,-6.601006,-6.195786,-6.378304,-6.888934,-5.908227,-7.294889,-6.195786,-6.195786,-6.888934,-6.601006,-6.601006,-5.422521,-6.378304,-6.041495,-4.991863,-5.908227,-6.601006,-5.908227,-7.294889,-7.294889,-6.041495,-6.378304,-6.378304,-6.888934,-6.195786,-7.294889,-6.041495,-6.888934,-5.15439,-6.601006,-7.294889,-6.041495,-6.195786,-7.294889,-5.790321,-5.908227,-6.195786,-6.601006,-5.790321,-5.790321,-5.684863,-5.279496,-7.294889,-5.58974,-6.378304,-5.908227,1
-5.886024,-5.886024,-5.886024,-6.802495,?,-7.494742,-6.802495,-6.39673,-5.4162,?,-5.886024,-6.802495,-6.39673,-5.886024,-6.39673,-5.703882,-5.886024,-6.802495,-5.4162,-6.109348,-7.494742,-6.802495,-7.494742,-6.109348,-6.802495,-6.39673,-7.494742,-6.802495,-5.886024,?,-5.549603,-6.39673,-5.549603,-5.703882,-6.802495,-5.4162,-6.802495,-6.39673,-5.703882,-5.298317,-6.109348,-7.494742,-6.109348,-6.802495,-7.494742,-6.109348,?,-6.109348,-7.494742,-5.703882,0
-6.195786,-6.378304,-5.790321,-6.601006,-5.790321,-5.908227,-6.378304,-6.601006,-6.195786,-5.58974,-6.195786,-7.986565,-6.378304,-6.601006,-5.684863,-5.908227,-6.601006,-6.378304,-6.378304,-7.986565,-7.294889,-6.041495,-5.908227,-6.041495,-6.195786,-5.908227,-6.888934,-5.684863,-5.908227,-6.378304,-5.790321,-7.986565,-6.195786,-5.908227,-6.601006,-6.041495,-6.041495,-6.195786,-6.041495,-6.378304,-6.041495,-5.684863,-6.195786,-7.294889,-5.790321,-7.294889,-6.041495,-6.888934,-7.986565,-6.041495,0
-4.952178,-5.331667,-5.594032,-5.331667,-5.699392,-5.817175,-5.950707,-5.331667,-4.232986,-5.699392,-5.950707,-5.699392,-5.331667,-5.124028,-5.594032,-5.188567,-5.594032,-5.257559,-5.331667,-5.817175,-5.950707,-5.594032,-6.104857,-5.699392,-5.817175,-5.699392,-5.817175,-6.510322,-5.817175,-5.41171,-5.950707,-4.805452,-5.41171,-5.594032,-5.498721,-6.510322,-5.498721,-5.41171,-5.331667,-5.699392,-5.498721,-6.798004,-5.699392,-5.41171,-6.510322,-5.331667,-6.287179,-5.817175,-7.20347,-6.104857,1
-7.294889,?,?,-6.888934,?,?,-7.294889,-7.986565,-4.095705,?,-7.986565,-7.986565,-7.986565,-7.986565,?,-7.294889,-6.378304,?,-7.986565,-7.986565,-6.888934,-6.601006,?,?,-7.986565,?,?,-6.378304,?,-7.986565,?,-3.412825,?,?,-7.986565,?,?,-7.294889,-7.986565,-3.476676,-7.986565,-7.294889,-7.986565,-3.927086,?,-7.986565,?,-7.294889,-7.986565,-6.378304,0
-7.250246,-7.250246,-6.557098,-6.84478,-7.250246,-7.943393,-5.99708,-7.250246,?,-5.863599,-6.557098,-7.250246,-7.250246,-7.943393,-7.250246,-7.943393,-5.99708,-6.151164,-7.943393,-6.84478,-7.943393,-6.84478,-5.99708,-6.151164,-5.378227,-5.545241,-7.250246,-6.557098,-5.863599,-6.333392,-6.333392,-7.943393,-6.84478,-6.84478,-7.250246,-5.99708,-6.151164,-7.943393,-6.333392,-6.84478,?,-5.303933,-5.863599,-7.943393,-5.545241,-5.99708,-6.333392,?,-5.234967,-6.333392,0
-6.601006,-7.294889,-7.986565,-6.378304,-7.986565,?,-7.986565,?,?,?,-7.294889,?,-7.294889,?,?,-6.888934,-7.294889,?,-7.986565,-6.888934,-7.986565,-7.986565,?,?,?,-7.294889,-7.986565,-7.294889,-7.294889,-7.294889,-7.986565,?,-7.986565,-7.294889,-7.986565,-7.986565,-6.601006,-7.986565,-7.986565,-6.888934,-6.601006,-6.888934,?,-7.294889,-6.888934,-7.294889,-7.986565,-6.378304,?,-5.684863,0
-6.888934,-5.790321,-7.294889,-6.378304,-6.601006,-6.601006,-6.378304,-6.601006,-4.461156,-6.041495,-5.908227,-5.502639,-5.214896,-6.601006,-6.378304,-6.195786,-6.378304,-6.888934,-6.601006,-7.294889,-5.502639,-5.097174,-7.986565,-7.986565,?,-6.195786,-6.888934,-7.986565,-7.294889,-6.195786,-7.986565,-5.422521,-6.601006,-7.986565,-7.294889,-7.294889,-7.294889,-5.908227,-7.986565,-6.378304,-6.378304,?,-6.888934,-6.378304,-6.041495,-5.908227,-6.601006,-7.986565,-6.601006,-6.378304,0
-5.790321,-5.214896,-6.195786,-6.378304,-5.790321,-5.15439,-6.601006,-5.422521,-4.691709,-5.422521,-5.58974,-7.294889,-6.041495,-6.378304,-5.422521,-4.943023,-5.15439,-5.790321,-5.502639,-6.888934,-6.195786,-5.348559,-7.294889,-6.378304,-5.422521,-5.422521,-6.041495,-6.195786,-5.214896,-5.502639,-7.986565,-6.378304,-6.378304,-5.15439,-6.378304,-5.502639,-6.888934,-5.502639,-4.852094,-5.422521,-6.195786,-6.601006,-6.378304,-5.348559,-6.041495,-6.195786,-6.041495,-6.195786,-6.888934,-5.502639,1
-7.294889,-7.986565,-7.294889,-7.294889,-6.601006,?,-6.378304,?,-3.844411,-7.986565,?,-7.986565,?,-7.986565,-7.986565,-7.294889,-6.601006,?,-6.378304,-6.378304,?,-6.888934,-6.601006,-6.888934,-7.986565,-6.378304,-6.888934,-5.908227,-6.378304,?,-6.195786,-5.279496,-5.908227,?,-7.986565,-6.378304,-6.378304,?,-5.422521,-4.095705,-7.294889,-7.986565,-7.294889,-4.991863,-7.294889,-5.908227,-7.294889,-5.502639,?,-5.790321,1
?,?,-7.846803,-6.749044,?,-7.846803,-7.154935,?,-5.282838,-6.461148,?,-7.846803,-7.154935,?,-7.154935,?,-7.846803,-7.846803,?,-7.154935,?,?,-6.749044,?,?,-6.749044,-7.154935,-6.461148,-6.749044,-7.846803,?,-4.803255,-6.238389,-7.846803,-7.154935,-6.238389,-7.846803,-7.846803,-7.846803,-5.545241,-7.154935,-7.846803,?,-6.238389,-7.154935,-7.154935,-6.461148,-7.846803,-7.846803,-6.749044,1
-5.90199,?,-7.846803,-5.650431,-7.846803,-7.154935,-6.238389,?,-4.236853,-6.055896,?,-7.846803,?,-7.846803,-7.846803,-6.461148,-7.846803,-7.154935,-6.238389,-6.461148,-7.154935,-7.154935,-7.154935,-6.749044,-6.461148,-6.461148,-5.768321,-7.846803,-7.154935,-7.846803,-7.154935,-4.957426,-6.238389,-5.650431,-6.461148,-6.238389,-6.055896,-7.154935,-6.461148,-6.238389,-6.461148,?,-5.90199,-6.461148,-6.055896,?,-6.461148,-7.846803,-7.154935,-6.238389,1
-6.104857,-7.896617,-7.896617,-6.798004,-7.20347,?,-6.798004,?,-3.453902,?,-7.20347,?,?,-6.798004,?,-7.20347,?,?,-7.896617,?,?,?,-7.20347,?,-7.896617,-7.896617,-7.896617,-7.896617,?,-7.896617,-7.20347,-4.370177,-6.287179,?,-7.20347,?,?,?,-7.896617,-6.798004,?,?,-7.896617,-6.798004,-7.896617,-7.896617,?,-7.20347,?,-7.896617,1
-5.58974,-5.790321,-5.422521,-5.422521,-5.097174,-6.041495,-6.378304,-5.58974,-6.601006,-5.684863,-6.195786,-6.601006,-6.888934,-5.908227,-6.195786,-6.195786,-5.908227,-5.790321,-5.502639,-5.348559,-6.195786,-5.58974,-6.378304,-6.601006,-6.041495,-6.041495,-6.601006,-5.684863,-5.908227,-6.601006,-6.601006,?,-5.422521,-5.790321,-6.888934,-5.348559,-4.991863,-6.601006,-5.58974,-6.888934,-6.378304,-6.601006,-5.908227,-7.294889,-6.041495,-6.378304,-6.041495,-5.790321,-7.294889,-5.348559,1
?,?,-7.896617,-7.20347,-7.20347,-7.896617,?,-7.896617,-3.691844,-7.896617,-6.510322,-6.798004,-7.20347,-7.20347,-7.896617,-6.510322,-7.896617,?,?,?,-7.896617,-7.20347,-7.896617,-7.896617,-6.798004,-7.896617,-7.20347,-6.798004,?,-7.20347,-7.896617,-3.527101,-6.510322,-7.20347,-6.798004,-7.20347,-6.510322,-7.896617,-6.798004,-4.400028,?,-7.20347,?,-4.49533,-7.896617,-7.896617,?,-7.896617,-7.20347,-7.20347,0
?,-6.510322,-5.331667,-7.20347,-6.798004,-7.20347,-6.104857,-6.798004,-6.104857,-6.510322,-6.798004,-5.699392,-5.699392,-6.104857,-5.817175,-6.510322,-6.287179,-6.510322,-7.20347,-5.188567,-6.798004,-5.594032,-7.896617,-6.798004,-6.287179,-7.20347,-7.20347,-5.950707,-5.006245,-6.287179,-5.817175,?,-7.20347,-7.896617,-5.950707,-6.287179,-6.798004,-6.287179,-5.950707,-5.950707,-5.594032,-5.950707,-6.104857,-6.104857,-6.798004,-6.104857,-7.896617,-6.510322,-7.896617,-5.498721,0
-7.986565,-7.986565,-7.294889,-7.294889,-6.378304,?,-6.378304,?,-4.158883,-6.601006,?,-7.294889,-7.294889,?,?,-7.986565,-5.908227,-6.041495,-6.378304,-6.601006,-7.294889,?,?,?,?,-7.294889,-6.378304,-6.888934,?,?,-6.888934,-5.348559,-5.58974,?,-6.888934,-6.601006,-6.195786,-7.986565,-5.422521,-5.502639,-7.986565,-6.888934,-6.888934,-5.15439,-6.378304,-6.888934,-6.041495,-6.888934,-6.601006,-6.378304,1
-7.20347,-7.896617,?,-7.20347,-7.20347,-7.896617,?,?,-4.067917,?,?,-6.287179,-6.798004,-7.896617,-7.20347,?,-7.896617,-7.896617,-7.896617,?,-7.20347,?,-6.798004,-7.896617,?,-7.896617,?,-6.798004,-7.896617,-7.896617,-6.510322,-4.430797,?,-7.20347,?,-7.20347,?,?,-6.510322,-5.594032,-6.510322,-7.896617,?,-7.20347,?,-5.594032,-7.20347,-6.287179,-7.20347,?,0
-5.908227,-6.195786,-5.790321,-5.790321,-6.888934,-5.790321,-6.195786,-5.58974,-5.279496,-6.601006,-6.195786,-6.378304,-6.601006,-5.684863,-6.888934,-5.422521,-6.888934,-6.195786,-6.601006,-7.294889,-7.986565,-5.790321,-6.378304,-7.294889,-5.684863,-6.195786,-6.888934,-5.908227,-6.041495,-7.294889,-6.601006,-5.502639,-6.888934,-5.502639,-5.908227,-6.195786,-6.378304,-6.195786,-7.294889,-6.195786,-7.294889,-7.294889,-6.601006,-6.601006,-7.294889,-6.041495,-7.294889,-6.601006,-7.294889,?,0
-5.893612,-6.992224,-5.893612,-5.488026,-7.684284,-6.586397,-6.299077,-7.684284,-4.353012,-6.586397,-6.586397,-6.586397,-6.299077,-6.586397,-6.586397,-5.60593,-6.075716,?,-6.075716,-6.992224,-6.992224,-6.075716,?,-6.075716,-6.075716,-6.586397,-6.299077,-5.893612,-6.992224,-6.586397,-6.992224,-4.794879,-6.299077,-6.299077,-7.684284,-6.075716,-6.586397,-6.299077,-7.684284,-6.992224,-5.893612,-6.586397,-6.992224,?,?,-6.299077,-6.586397,-6.299077,-6.299077,?,0
-5.237599,-6.124767,-5.873859,-5.768321,-5.672865,-4.892852,-5.362963,-5.180534,-5.362963,-6.279147,-5.362963,-5.768321,-5.585999,-5.126383,-5.672865,-4.544546,-5.362963,-6.972827,-5.02646,-6.684612,-6.124767,-5.02646,-6.279147,-5.768321,-5.180534,-5.768321,-5.991465,-5.991465,-6.972827,-5.505834,-5.585999,-8.069307,-5.585999,-5.298317,-6.124767,-6.972827,-7.377759,-4.892852,-6.124767,-6.124767,-5.873859,-6.972827,-5.991465,-7.377759,-5.768321,-5.672865,-6.279147,-6.279147,-5.991465,-6.124767,1
?,?,?,-6.195786,?,?,-7.986565,?,-3.643715,?,?,?,?,?,?,-7.294889,?,?,?,-7.986565,?,?,?,?,?,?,-7.986565,?,?,?,-7.986565,-4.036283,-6.888934,-7.294889,-7.986565,-6.888934,-7.986565,?,-7.986565,-4.586348,-7.986565,?,?,-3.909975,?,-7.986565,?,?,?,?,0
-6.888934,-6.195786,-5.684863,-6.378304,-6.041495,-5.908227,-6.378304,-6.888934,-4.768631,-6.378304,-7.294889,-5.908227,-7.294889,-6.378304,-6.195786,-6.378304,-7.294889,-7.294889,-6.195786,-6.195786,-7.294889,-6.601006,-5.908227,-6.888934,-6.601006,-6.195786,-6.601006,-5.214896,-6.601006,-6.378304,-6.378304,-5.58974,-6.888934,-6.601006,-5.908227,-6.378304,-5.348559,-6.601006,-6.041495,-7.294889,-7.986565,-5.684863,-6.378304,-7.294889,-5.279496,-5.348559,-7.294889,-5.790321,-5.58974,-6.378304,0
-5.790321,-6.888934,-7.986565,-6.195786,-7.986565,-7.986565,-7.294889,-7.986565,-5.58974,-7.986565,-7.294889,?,-6.888934,-7.294889,-7.986565,-6.888934,-6.888934,-7.294889,-7.294889,-6.378304,-7.294889,?,-6.378304,-7.986565,?,-7.294889,?,-6.378304,?,-6.888934,-7.294889,-5.908227,-5.422521,?,-7.986565,-7.986565,-7.986565,-7.294889,-5.908227,?,-6.888934,-7.986565,-6.378304,-5.422521,?,?,-5.908227,-6.195786,-6.378304,-6.041495,0
-5.908227,-6.601006,-6.888934,-5.58974,-6.041495,-5.790321,-6.888934,-5.790321,?,?,-6.888934,-7.294889,-6.601006,-6.601006,-6.195786,-5.790321,-6.888934,-6.601006,-5.790321,-6.195786,-7.294889,-5.502639,-6.195786,-7.294889,-6.888934,-6.601006,-7.294889,-6.888934,-5.422521,-5.908227,-7.294889,?,-7.294889,-5.348559,-7.294889,-6.888934,-7.294889,-6.195786,-6.888934,-5.684863,-6.041495,-6.601006,-6.378304,-7.986565,-7.294889,-6.888934,-5.908227,-6.888934,?,-6.888934,1
-5.58974,-5.908227,-6.041495,-6.041495,-6.378304,-5.58974,-7.294889,-7.294889,-6.888934,-6.195786,-5.908227,?,-5.279496,-5.684863,-5.684863,-5.58974,-5.790321,-5.790321,-5.279496,-6.041495,-6.601006,-5.790321,?,-7.294889,-6.378304,-6.041495,-6.601006,-6.888934,-5.58974,-6.378304,-6.601006,?,-6.195786,-7.294889,-6.195786,-6.601006,-7.294889,-6.601006,-6.378304,-5.790321,-5.58974,-7.986565,-5.502639,-6.041495,-7.986565,-6.888934,-5.790321,-6.888934,-6.601006,-6.041495,1
-5.817175,-5.699392,-5.817175,-5.817175,-6.287179,-5.817175,-6.287179,-5.950707,-5.817175,-6.287179,-5.817175,-5.817175,-5.257559,-5.817175,-6.104857,-5.257559,-6.104857,-5.950707,-7.20347,-5.817175,-5.817175,-4.805452,-6.510322,-5.699392,-6.287179,-5.950707,-5.699392,-6.510322,-5.699392,-5.950707,-6.104857,-7.20347,-5.594032,-6.510322,-7.20347,-5.950707,-5.817175,-6.104857,-5.950707,-5.41171,-5.817175,-6.104857,-6.104857,-6.510322,-6.510322,-6.104857,-6.287179,-7.20347,?,-5.41171,1
-6.697494,-5.599152,-6.697494,-7.796917,-6.004752,-6.004752,-5.85066,-7.10377,-7.796917,-6.004752,-5.599152,-5.717172,-5.088381,-6.410015,-5.599152,-7.10377,-6.186993,-6.004752,-7.10377,-7.10377,-6.697494,-5.599152,-5.85066,-6.410015,-7.10377,-5.39858,-6.186993,-5.39858,-5.493846,-5.39858,-5.599152,?,-6.697494,-6.697494,?,-6.697494,-5.717172,-6.186993,-5.717172,-5.39858,-5.493846,-5.85066,-5.39858,-6.186993,-6.410015,-4.852094,-7.10377,-7.796917,-7.796917,-5.157339,0
-5.422521,-7.986565,-6.041495,-5.422521,-5.684863,-6.888934,-7.986565,-6.601006,-4.896459,-6.041495,-6.601006,-6.601006,-6.378304,-7.294889,-6.378304,-6.195786,-6.041495,-6.041495,-6.601006,-5.58974,-7.986565,-6.195786,-7.294889,-6.601006,-6.378304,-6.195786,-6.041495,-5.908227,-5.790321,-6.601006,-6.601006,-4.991863,-5.684863,-7.986565,-5.908227,-6.378304,-5.279496,-7.986565,-6.195786,-7.986565,-6.378304,-6.888934,-6.601006,-7.986565,-6.041495,-6.601006,-5.908227,-6.195786,-7.294889,-5.502639,1
-5.502639,-6.378304,-5.790321,-5.908227,-6.195786,-6.195786,-5.684863,-6.378304,-5.043055,-5.684863,-6.888934,-6.601006,-5.790321,-6.378304,-5.908227,-5.502639,-7.294889,-5.58974,-5.684863,-5.684863,-6.195786,-5.684863,-6.195786,-6.378304,-6.888934,-5.502639,-6.601006,?,-5.348559,-5.58974,-6.378304,-6.601006,-5.279496,-6.888934,-5.790321,-5.908227,-5.790321,-5.790321,-5.097174,-6.378304,-5.908227,-6.378304,-5.908227,-5.502639,-5.790321,-6.041495,-6.601006,-5.908227,-7.986565,-5.684863,1
-6.510322,-5.950707,-7.896617,-6.104857,-6.510322,-6.287179,-5.950707,-7.896617,-4.232986,-7.896617,-7.20347,-6.510322,-6.287179,-7.20347,?,-5.817175,-7.896617,-6.287179,-6.510322,-7.20347,-6.510322,-7.20347,-7.20347,-6.798004,-5.817175,-7.20347,-7.20347,-5.950707,-7.20347,-7.20347,-6.287179,-4.761006,-6.510322,-5.950707,-5.594032,-7.20347,-7.20347,-6.287179,-6.104857,-5.817175,-6.510322,-7.20347,-6.510322,-6.510322,-6.104857,-6.104857,-6.287179,-6.510322,-4.952178,-5.950707,1
-6.195786,-6.888934,-7.294889,-6.378304,-6.195786,-6.195786,-7.294889,-6.378304,-5.684863,-7.294889,-6.041495,-7.986565,-6.195786,-7.986565,-6.195786,-5.684863,-7.986565,-7.294889,-5.214896,-7.294889,-6.888934,-6.601006,-5.790321,-6.195786,-6.888934,-6.888934,-6.378304,-6.601006,-6.601006,-6.888934,-5.908227,-7.986565,-6.195786,-7.294889,-6.378304,-6.195786,-6.888934,-6.888934,-7.294889,-7.986565,-7.294889,-6.601006,-7.986565,-6.888934,-5.908227,-6.601006,-6.888934,-6.601006,-7.986565,-6.378304,0
-6.378304,-6.601006,-5.684863,-6.195786,-6.041495,-6.601006,-7.294889,-7.294889,-4.158883,-7.986565,-6.195786,-7.294889,-6.195786,-6.041495,-7.986565,-7.294889,-6.195786,-5.908227,-6.601006,-6.888934,-7.986565,-6.378304,-6.888934,-6.601006,-6.601006,-6.378304,-6.378304,-6.378304,-6.888934,?,-6.888934,-4.491038,-6.041495,-6.601006,-6.195786,-6.601006,-6.601006,-7.986565,-6.041495,-6.888934,-6.888934,-7.294889,-5.790321,-5.502639,-6.041495,-6.601006,-7.294889,-6.195786,-7.986565,-6.378304,0
-5.545241,-5.768321,-5.950707,-5.768321,-6.461148,-5.480559,-6.461148,-5.855187,-5.075174,-6.307272,-5.950707,-6.173946,-5.855187,-6.307272,-5.545241,-5.117664,-5.950707,-6.643854,-5.855187,-5.688401,-5.855187,-6.173946,-6.173946,-5.614125,-6.055896,-6.055896,-6.866613,-5.950707,-6.055896,-5.950707,-5.950707,-5.688401,-7.154935,-5.420033,-6.307272,-6.173946,-6.307272,-5.688401,-5.855187,-5.688401,-5.688401,-6.307272,-5.950707,-6.173946,-6.055896,-6.866613,-7.154935,-5.768321,-6.866613,-5.614125,1
-7.294889,-6.888934,-7.294889,-7.294889,-7.294889,-7.986565,?,-7.986565,-4.298642,-7.986565,-7.294889,?,-6.601006,?,-7.986565,-6.888934,?,-7.294889,-7.294889,-7.986565,-7.294889,?,-6.888934,-7.294889,?,?,-7.986565,-7.294889,-7.294889,?,-7.294889,-4.553527,-7.986565,-7.986565,-7.294889,-7.294889,-6.601006,?,-6.601006,-6.378304,-6.601006,-6.888934,-7.986565,-7.294889,-6.378304,-6.041495,?,-6.888934,-6.195786,-6.601006,0
-7.986565,?,-5.908227,-7.986565,-7.986565,?,-7.986565,?,-6.195786,-7.986565,?,?,-6.888934,?,-6.888934,?,-6.888934,?,?,-6.888934,-7.294889,-7.986565,-7.986565,-7.294889,?,-6.601006,-6.888934,-5.908227,-5.684863,-6.041495,-6.378304,?,-7.294889,?,-6.601006,-6.888934,-5.502639,?,-7.294889,-5.279496,-6.601006,-6.888934,?,-6.195786,-6.888934,-5.790321,?,-6.378304,-7.294889,-6.041495,0
